Zip,percent_Adults_AtLeastOneDose,percent_Adults_AtLeastOneDose_March20,Percent_Hispanic,Percent_Black,Percent_Poverty,Percent_ServiceIndustry,Percent_NoCar,Percent_Uninsured
33010,45.38,25.99,95.32,0.92,21.91,23.2,4.37,27.91
33012,45.01,26.25,96.21,0.37,25.65,22.19,3.77,20.04
33013,47.91,26.91,96.25,0.7,23.04,21.58,1.61,19.75
33014,43.98,24.87,90.06,1.6,20.29,16.62,2.3,16.16
33015,41.52,21.89,85.26,6.83,14.59,15.65,1.06,14.46
33016,43.88,24.35,94.66,1.07,16.15,20.1,1.46,16.68
33018,49.66,25.86,95.26,0.63,9.44,16.55,1.27,14.12
33030,30.61,15.95,72.18,14.57,28.56,24.77,11.66,31.56
33031,40.76,25.32,55.36,5.03,5.8,16.9,0.23,18.4
33032,39.6,19.16,66.14,24.35,19.66,25.37,2.38,20.19
33033,40.3,20.27,72.62,15.11,22.26,23.29,2.15,19.73
33034,28.66,15.14,52.72,38.4,41.48,29.68,6.45,25.58
33035,34.13,18.11,57.29,23.44,18.51,21.71,0.69,15.7
33039,11.85,3.7,89.29,10.71,21.43,0,0,22.86
33054,30.37,15.01,32.19,62.63,34.82,28.19,3.81,23
33055,44.11,23.3,65.63,28.4,20.44,19.9,1.55,18.37
33056,36.52,21.56,20.08,77,22.7,27.12,2.92,19.97
33109,100,100,14.22,0,10.29,11.11,0,0
33122,100,100,65.37,0,10.73,0,0,19.02
33125,37.98,21.6,91.51,3.85,29.79,29.04,6.7,23.67
33126,42.79,23.59,95.52,0.62,21.54,23.98,2.63,18.5
33127,27.39,14.07,52.21,43.46,31.59,31.84,13.88,23.2
33128,42.49,24.4,90.82,6.09,32.83,39.9,24.21,29.69
33129,81.5,46.67,68.28,2.3,12.95,7.87,2.54,7.09
33130,55.11,26.92,82.68,2.43,23.89,26.08,11.8,20.43
33131,96.83,44.25,55.28,2.06,8.24,7.63,10.33,9
33132,53.48,23.27,51.85,10.28,12.87,9.35,6.81,12.07
33133,64.54,40.41,58.7,9.64,15.01,17.56,3.84,14.94
